LOCATION,PRICE,FACING,FLOOR,BEDROOM,BATHROOM,LAND AREA (sqft),ROAD ACCESS (ft),PROPERTY AGE,HAS_PARKING,HAS_BALCONY,HAS_GARDEN,HAS_MODULAR_KITCHEN,LOCATION_ENCODED
"Mandikhatar, Kathmandu",75000000.0,south-west,3.5,8.0,6.0,3114.475,16.0,6.0,1,1,0,0,43173333.333333336
"Imadol, Lalitpur",27500000.0,west,3.0,5.0,3.0,1060.9750000000001,13.0,5.0,1,1,0,1,29527777.777777776
"Bojepokhari, Lalitpur",28500000.0,east,2.5,6.0,5.0,1095.2,12.0,5.0,1,1,0,0,25500000.0
"Hattigaunda, Kathmandu",31500000.0,east,2.5,6.0,5.0,1369.0,14.0,2.0,1,1,0,0,42730769.23076923
"Tikathali, Lalitpur",27500000.0,north,2.5,7.0,4.0,1369.0,13.0,9.0,1,1,0,0,25147058.82352941
"Imadol, Lalitpur",23500000.0,east,3.5,6.0,4.0,1026.75,13.0,8.0,1,1,0,0,29527777.777777776
"Thaiba, Lalitpur",29000000.0,north-east,2.5,6.0,4.0,1779.7,20.0,8.0,1,1,1,0,39166666.666666664
"Tikathali, Lalitpur",25500000.0,north,3.0,6.0,5.0,1026.75,13.0,8.0,1,1,0,0,25147058.82352941
"Imadol, Lalitpur",32500000.0,north,2.5,3.0,4.0,1369.0,20.0,6.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",27000000.0,east,3.5,5.0,4.0,1129.425,13.0,6.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",24500000.0,west,2.5,4.0,4.0,1060.9750000000001,13.0,9.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",29500000.0,north,2.5,5.0,5.0,1437.45,13.0,9.0,1,1,0,0,29527777.777777776
"Lasuntar, Kathmandu",25000000.0,north-east,2.5,5.0,3.0,1369.0,12.0,2.0,1,0,0,1,28000000.0
"Khumaltar, Lalitpur",45000000.0,south,2.5,6.0,3.0,2053.5,13.0,8.0,1,1,0,0,44153846.15384615
"Imadol, Lalitpur",24000000.0,east,3.0,4.0,4.0,787.175,13.0,9.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",23000000.0,north,3.0,4.0,4.0,752.95,13.0,9.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",26500000.0,south-west,3.0,4.0,5.0,1369.0,13.0,8.0,1,1,0,0,29527777.777777776
"Tikathali, Lalitpur",32000000.0,north-west,2.5,5.0,4.0,1403.225,13.0,6.0,1,1,0,0,25147058.82352941
"Imadol, Lalitpur",29000000.0,east,2.5,5.0,5.0,1026.75,13.0,6.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",27500000.0,west,3.5,6.0,4.0,1026.75,20.0,8.0,0,1,0,0,29527777.777777776
"Tikathali, Lalitpur",25500000.0,north-east,3.0,6.0,6.0,1095.2,13.0,9.0,1,1,0,0,25147058.82352941
"Imadol, Lalitpur",27500000.0,west,2.5,5.0,5.0,1060.9750000000001,13.0,9.0,1,1,0,0,29527777.777777776
"Imadol, Lalitpur",34000000.0,west,3.0,5.0,4.0,1095.2,26.0,6.0,1,1,0,0,29527777.777777776
"Nakkhu, Lalitpur",27500000.0,east,2.5,4.0,4.0,1095.2,20.0,6.0,1,1,0,0,33960000.0
"Imadol, Lalitpur",42500000.0,north-east,2.5,5.0,3.0,1403.225,20.0,9.0,1,1,0,0,29527777.777777776
"Sanagaun, Lalitpur",16000000.0,north-east,2.5,4.0,3.0,1779.7,13.0,12.0,1,1,0,1,20875000.0
"Samakhushi chowk, Kathmandu",35500000.0,north,2.5,6.0,4.0,1095.2,13.0,3.0,1,1,0,0,38500000.0
"Imadol, Lalitpur",27500000.0,north-east,2.5,6.0,4.0,1026.75,13.0,10.0,1,1,0,0,29527777.777777776
"Lubhu, Lalitpur",59000000.0,east,2.5,6.0,5.0,2429.975,20.0,8.0,1,1,0,0,22600000.0
"Taukhel, Lalitpur",27500000.0,west,3.0,5.0,3.0,1369.0,12.0,6.0,1,1,0,0,27500000.0
"Hattiban, Lalitpur",28000000.0,south,2.5,6.0,4.0,1060.9750000000001,13.0,12.0,1,1,0,0,40300000.0
"Hattiban, Lalitpur",32500000.0,north-west,2.5,6.0,4.0,1369.0,14.0,19.0,1,1,0,0,40300000.0
"Sundarbasti, Kathmandu",39000000.0,east,2.5,6.0,5.0,1437.45,13.0,11.0,1,1,1,0,34144444.44444445
"Narayanthan , Kathmandu",42500000.0,west,2.5,4.0,6.0,1369.0,20.0,16.0,1,1,1,0,52071428.571428575
"Katunje, Bhaktapur",34000000.0,south-west,2.5,5.0,4.0,1403.225,13.0,10.0,1,1,0,0,28750000.0
"Dhapasi, Kathmandu",47500000.0,east,3.0,4.0,5.0,2395.75,20.0,14.0,1,1,1,0,38452173.91304348
"Sundarbasti, Kathmandu",34500000.0,north-east,2.5,4.0,4.0,1129.425,13.0,10.0,1,1,0,0,34144444.44444445
"Nayapati, Kathmandu",29000000.0,west,2.5,11.0,4.0,2087.725,20.0,6.0,0,1,1,0,29000000.0
"Imadol, Lalitpur",26500000.0,south-west,3.5,5.0,4.0,992.525,13.0,6.0,1,1,0,0,29527777.777777776
"Nakhipot, Lalitpur",42500000.0,south-east,3.5,7.0,5.0,1437.45,16.0,23.0,1,1,0,0,34208333.333333336
"Khumaltar, Lalitpur",42000000.0,south,3.0,6.0,5.0,1437.45,12.0,12.0,1,1,0,0,44153846.15384615
"Jyotinagar, Kathmandu",29500000.0,north,3.5,5.0,4.0,1437.45,16.0,8.0,1,1,0,0,30460000.0
"Kuleshwor, Kathmandu",45000000.0,east,5.0,7.0,4.0,752.95,27.0,17.0,0,1,0,1,45000000.0
"Khumaltar, Lalitpur",39000000.0,north,2.5,6.0,4.0,1471.675,16.0,12.0,1,1,0,0,44153846.15384615
"Dhapasi, Kathmandu",46000000.0,south,2.5,4.0,5.0,2464.2000000000003,13.0,11.0,1,1,1,0,38452173.91304348
"Bhangal , Kathmandu",24000000.0,east,2.5,6.0,5.0,1095.2,13.0,12.0,1,0,0,1,27633333.333333332
"Mahadevtar, Kathmandu",60000000.0,south-west,3.5,8.0,5.0,3490.95,13.0,10.0,1,1,1,0,53250000.0
